2026-01-26 17:05:39 | WARNING | All conformers clashing pair_id=train__train_277__RHEA_11308 role=product
2026-01-26 17:05:39 | WARNING | Pair train__train_277__RHEA_11308 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 17:06:20 | WARNING | All conformers clashing pair_id=train__train_279__RHEA_19721 role=reactant
2026-01-26 17:06:26 | WARNING | All conformers clashing pair_id=train__train_279__RHEA_19721 role=product
2026-01-26 17:06:26 | WARNING | Pair train__train_279__RHEA_19721 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 17:06:33 | WARNING | All conformers clashing pair_id=train__train_279__RHEA_36931 role=reactant
2026-01-26 17:06:39 | WARNING | All conformers clashing pair_id=train__train_279__RHEA_36931 role=product
2026-01-26 17:06:39 | WARNING | Pair train__train_279__RHEA_36931 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 17:07:45 | WARNING | All conformers clashing pair_id=train__train_292__RHEA_23596 role=reactant
2026-01-26 17:07:53 | WARNING | All conformers clashing pair_id=train__train_292__RHEA_23596 role=product
2026-01-26 17:07:53 | WARNING | Pair train__train_292__RHEA_23596 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 17:08:23 | WARNING | All conformers clashing pair_id=train__train_294__RHEA_13281 role=reactant
