name,input_path,ligand_code,formula_weight,heavy_atoms,hetero_atoms,elements,formula,ccd_name,weight_bin
ccd_d2z,./data/rfd3/ccd_ligands/structures/D2Z.cif,D2Z,357.424,26,6,"C,H,N,O",C20 H25 N2 O4,"2-[4-[[(3~{R})-2,3-dihydro-1,4-benzodioxin-3-yl]methylcarbamoyl]phenoxy]ethyl-dimethyl-azanium",3
ccd_f3f,./data/rfd3/ccd_ligands/structures/F3F.cif,F3F,363.314,25,9,"C,F,H,N,O,S",C16 H8 F3 N3 O2 S,"S-[5-(TRIFLUOROMETHYL)-4H-1,2,4-TRIAZOL-3-YL] 5-(PHENYLETHYNYL)FURAN-2-CARBOTHIOATE",3
ccd_1a1,./data/rfd3/ccd_ligands/structures/1A1.cif,1A1,363.396,26,9,"C,H,N,O,S",C17 H13 N7 O S,"N-[7-(1H-imidazol-1-yl)-2-(pyridin-3-yl)[1,3]thiazolo[5,4-d]pyrimidin-5-yl]cyclopropanecarboxamide",3
ccd_0c7,./data/rfd3/ccd_ligands/structures/0C7.cif,0C7,364.792,26,9,"C,CL,H,N",C17 H13 Cl N8,"N~4~-(2-chlorophenyl)-N~2~-[4-(1H-tetrazol-5-yl)phenyl]pyrimidine-2,4-diamine",3
ccd_u0n,./data/rfd3/ccd_ligands/structures/U0N.cif,U0N,365.436,27,9,"C,H,N",C18 H23 N9,"4-amino-2-[(1,3-dimethyl-1H-pyrazol-4-yl)amino]-7-methyl-6-[(2R)-2-methylpyrrolidin-1-yl]-7H-pyrrolo[2,3-d]pyrimidine-5-carbonitrile",3
ccd_j0w,./data/rfd3/ccd_ligands/structures/J0W.cif,J0W,365.465,27,4,"C,H,N,O",C23 H27 N O3,"(E)-3-[4-(6-HYDROXY-2-ISOBUTYL-1-METHYL-3,4-DIHYDROISOQUINOLIN-1-YL)PHENYL]PROP-2-ENOIC ACID",3
ccd_mxk,./data/rfd3/ccd_ligands/structures/MXK.cif,MXK,367.405,27,9,"C,H,N,O",C18 H21 N7 O2,"(2~{E})-2-hydroxyimino-~{N}-[(1~{S})-3-[4-[(2-methylimidazol-1-yl)methyl]-1,2,3-triazol-1-yl]-1-phenyl-propyl]ethanamid e",3
ccd_4td,./data/rfd3/ccd_ligands/structures/4TD.cif,4TD,368.463,25,8,"C,H,O",C17 H36 O8,(2S)-1-[3-[(2S)-2-oxidanylpropoxy]-2-[[(2S)-2-oxidanylpropoxy]methyl]-2-[[(2R)-2-oxidanylpropoxy]methyl]propoxy]propan-2-ol,3
ccd_kfy,./data/rfd3/ccd_ligands/structures/KFY.cif,KFY,369.418,27,8,"C,H,N,O",C19 H23 N5 O3,"9-[(2E)-but-2-en-1-yl]-8-[(3,4,5-trimethoxyphenyl)methyl]-9H-purin-6-amine",3
ccd_x4w,./data/rfd3/ccd_ligands/structures/X4W.cif,X4W,370.404,28,6,"C,H,N,O",C22 H18 N4 O2,"(6P)-6-[(4S)-imidazo[1,2-a]pyridin-3-yl]-4-[(1R)-1-phenylethyl]-2H-pyrido[3,2-b][1,4]oxazin-3(4H)-one",3
